ticker,statement,fiscal_date,metric,value
BC.MI,cash_flow,2024-12-31,Net Intangibles Purchase And Sale,-9184000.0
BC.MI,cash_flow,2024-12-31,Purchase Of Intangibles,-9184000.0
BC.MI,cash_flow,2024-12-31,Net PPE Purchase And Sale,-89026000.0
BC.MI,cash_flow,2024-12-31,Sale Of PPE,1168000.0
BC.MI,cash_flow,2024-12-31,Purchase Of PPE,-90194000.0
BC.MI,cash_flow,2024-12-31,Operating Cash Flow,188930000.0
BC.MI,cash_flow,2024-12-31,Taxes Refund Paid,-81088000.0
BC.MI,cash_flow,2024-12-31,Interest Received Cfo,1603000.0
BC.MI,cash_flow,2024-12-31,Interest Paid Cfo,-28537000.0
BC.MI,cash_flow,2024-12-31,Change In Working Capital,-51902000.0
BC.MI,cash_flow,2024-12-31,Change In Other Current Assets,29007000.0
BC.MI,cash_flow,2024-12-31,Change In Payable,-4301000.0
BC.MI,cash_flow,2024-12-31,Change In Inventory,-72574000.0
BC.MI,cash_flow,2024-12-31,Change In Receivables,-4034000.0
BC.MI,cash_flow,2024-12-31,Other Non Cash Items,30163000.0
BC.MI,cash_flow,2024-12-31,Provisionand Write Offof Assets,2511000.0
BC.MI,cash_flow,2024-12-31,Deferred Tax,29634000.0
BC.MI,cash_flow,2024-12-31,Depreciation And Amortization,153004000.0
BC.MI,cash_flow,2024-12-31,Amortization Cash Flow,6572000.0
BC.MI,cash_flow,2024-12-31,Depreciation,146432000.0
BC.MI,cash_flow,2024-12-31,Pension And Employee Benefit Expense,-35000.0
BC.MI,cash_flow,2024-12-31,Gain Loss On Investment Securities,5243000.0
BC.MI,cash_flow,2024-12-31,Gain Loss On Sale Of PPE,-179000.0
BC.MI,cash_flow,2024-12-31,Net Income From Continuing Operations,128513000.0
BC.MI,cash_flow,2023-12-31,Free Cash Flow,135515000.0
BC.MI,cash_flow,2023-12-31,Repurchase Of Capital Stock,-3332000.0
BC.MI,cash_flow,2023-12-31,Repayment Of Debt,-31164000.0
BC.MI,cash_flow,2023-12-31,Issuance Of Debt,0.0
BC.MI,cash_flow,2023-12-31,Capital Expenditure,-73533000.0
BC.MI,cash_flow,2023-12-31,End Cash Position,106944000.0
BC.MI,cash_flow,2023-12-31,Beginning Cash Position,117400000.0
BC.MI,cash_flow,2023-12-31,Effect Of Exchange Rate Changes,-3044000.0
BC.MI,cash_flow,2023-12-31,Changes In Cash,-7412000.0
BC.MI,cash_flow,2023-12-31,Financing Cash Flow,-163618000.0
BC.MI,cash_flow,2023-12-31,Net Other Financing Charges,16821000.0
BC.MI,cash_flow,2023-12-31,Cash Dividends Paid,-53118000.0
BC.MI,cash_flow,2023-12-31,Common Stock Dividend Paid,-53118000.0
BC.MI,cash_flow,2023-12-31,Net Common Stock Issuance,-3332000.0
BC.MI,cash_flow,2023-12-31,Common Stock Payments,-3332000.0
BC.MI,cash_flow,2023-12-31,Net Issuance Payments Of Debt,-31164000.0
BC.MI,cash_flow,2023-12-31,Net Long Term Debt Issuance,-31164000.0
BC.MI,cash_flow,2023-12-31,Long Term Debt Payments,-31164000.0
BC.MI,cash_flow,2023-12-31,Long Term Debt Issuance,0.0
BC.MI,cash_flow,2023-12-31,Investing Cash Flow,-52842000.0
BC.MI,cash_flow,2023-12-31,Net Investment Purchase And Sale,23072000.0
BC.MI,cash_flow,2023-12-31,Sale Of Investment,25900000.0
BC.MI,cash_flow,2023-12-31,Purchase Of Investment,-2828000.0
BC.MI,cash_flow,2023-12-31,Net Investment Properties Purchase And Sale,-2994000.0
BC.MI,cash_flow,2023-12-31,Purchase Of Investment Properties,-2994000.0
BC.MI,cash_flow,2023-12-31,Net Business Purchase And Sale,0.0
BC.MI,cash_flow,2023-12-31,Net Intangibles Purchase And Sale,-7116000.0
BC.MI,cash_flow,2023-12-31,Purchase Of Intangibles,-7116000.0
BC.MI,cash_flow,2023-12-31,Net PPE Purchase And Sale,-65804000.0
BC.MI,cash_flow,2023-12-31,Sale Of PPE,613000.0
BC.MI,cash_flow,2023-12-31,Purchase Of PPE,-66417000.0
BC.MI,cash_flow,2023-12-31,Operating Cash Flow,209048000.0
BC.MI,cash_flow,2023-12-31,Taxes Refund Paid,-83676000.0
BC.MI,cash_flow,2023-12-31,Interest Received Cfo,749000.0
BC.MI,cash_flow,2023-12-31,Interest Paid Cfo,-18307000.0
BC.MI,cash_flow,2023-12-31,Change In Working Capital,446000.0
BC.MI,cash_flow,2023-12-31,Change In Other Current Assets,22993000.0
BC.MI,cash_flow,2023-12-31,Change In Payable,36395000.0
BC.MI,cash_flow,2023-12-31,Change In Inventory,-54046000.0
BC.MI,cash_flow,2023-12-31,Change In Receivables,-4896000.0
BC.MI,cash_flow,2023-12-31,Other Non Cash Items,6715000.0
BC.MI,cash_flow,2023-12-31,Provisionand Write Offof Assets,11352000.0
BC.MI,cash_flow,2023-12-31,Deferred Tax,33872000.0
BC.MI,cash_flow,2023-12-31,Depreciation And Amortization,138845000.0
BC.MI,cash_flow,2023-12-31,Amortization Cash Flow,6836000.0
BC.MI,cash_flow,2023-12-31,Depreciation,132009000.0
BC.MI,cash_flow,2023-12-31,Pension And Employee Benefit Expense,71000.0
BC.MI,cash_flow,2023-12-31,Gain Loss On Investment Securities,-4475000.0
BC.MI,cash_flow,2023-12-31,Gain Loss On Sale Of PPE,-176000.0
BC.MI,cash_flow,2023-12-31,Net Income From Continuing Operations,123809000.0
BC.MI,cash_flow,2022-12-31,Free Cash Flow,153396000.0
BC.MI,cash_flow,2022-12-31,Repayment Of Debt,-36501000.0
BC.MI,cash_flow,2022-12-31,Issuance Of Debt,5000000.0
BC.MI,cash_flow,2022-12-31,Capital Expenditure,-62541000.0
BC.MI,cash_flow,2022-12-31,End Cash Position,117400000.0
BC.MI,cash_flow,2022-12-31,Beginning Cash Position,98003000.0
BC.MI,cash_flow,2022-12-31,Effect Of Exchange Rate Changes,653000.0
BC.MI,cash_flow,2022-12-31,Changes In Cash,18744000.0
BC.MI,cash_flow,2022-12-31,Financing Cash Flow,-115652000.0
BC.MI,cash_flow,2022-12-31,Net Other Financing Charges,34935000.0
BC.MI,cash_flow,2022-12-31,Cash Dividends Paid,-32294000.0
BC.MI,cash_flow,2022-12-31,Common Stock Dividend Paid,-32294000.0
BC.MI,cash_flow,2022-12-31,Net Common Stock Issuance,5993000.0
BC.MI,cash_flow,2022-12-31,Net Issuance Payments Of Debt,-31501000.0
BC.MI,cash_flow,2022-12-31,Net Long Term Debt Issuance,-31501000.0
BC.MI,cash_flow,2022-12-31,Long Term Debt Payments,-36501000.0
BC.MI,cash_flow,2022-12-31,Long Term Debt Issuance,5000000.0
BC.MI,cash_flow,2022-12-31,Investing Cash Flow,-81541000.0
BC.MI,cash_flow,2022-12-31,Net Investment Purchase And Sale,-18178000.0
BC.MI,cash_flow,2022-12-31,Sale Of Investment,0.0
BC.MI,cash_flow,2022-12-31,Purchase Of Investment,-18178000.0
BC.MI,cash_flow,2022-12-31,Net Investment Properties Purchase And Sale,-910000.0
BC.MI,cash_flow,2022-12-31,Purchase Of Investment Properties,-910000.0
BC.MI,cash_flow,2022-12-31,Net Business Purchase And Sale,0.0
BC.MI,cash_flow,2022-12-31,Purchase Of Business,0.0
BC.MI,cash_flow,2022-12-31,Net Intangibles Purchase And Sale,-7501000.0
BC.MI,cash_flow,2022-12-31,Purchase Of Intangibles,-7501000.0
BC.MI,cash_flow,2022-12-31,Net PPE Purchase And Sale,-54952000.0
BC.MI,cash_flow,2022-12-31,Sale Of PPE,88000.0
BC.MI,cash_flow,2022-12-31,Purchase Of PPE,-55040000.0
BC.MI,cash_flow,2022-12-31,Operating Cash Flow,215937000.0
BC.MI,cash_flow,2022-12-31,Taxes Refund Paid,-31275000.0
BC.MI,cash_flow,2022-12-31,Interest Received Cfo,193000.0
BC.MI,cash_flow,2022-12-31,Interest Paid Cfo,-14077000.0
BC.MI,cash_flow,2022-12-31,Change In Working Capital,3207000.0
BC.MI,cash_flow,2022-12-31,Change In Other Current Assets,15671000.0
BC.MI,cash_flow,2022-12-31,Change In Payable,34032000.0
BC.MI,cash_flow,2022-12-31,Change In Inventory,-41900000.0
BC.MI,cash_flow,2022-12-31,Change In Receivables,-4596000.0
BC.MI,cash_flow,2022-12-31,Other Non Cash Items,11902000.0
BC.MI,cash_flow,2022-12-31,Provisionand Write Offof Assets,8538000.0
BC.MI,cash_flow,2022-12-31,Deferred Tax,23134000.0
BC.MI,cash_flow,2022-12-31,Depreciation And Amortization,131945000.0
BC.MI,cash_flow,2022-12-31,Amortization Cash Flow,6636000.0
BC.MI,cash_flow,2022-12-31,Depreciation,125309000.0
BC.MI,cash_flow,2022-12-31,Pension And Employee Benefit Expense,-67000.0
BC.MI,cash_flow,2022-12-31,Gain Loss On Investment Securities,-4866000.0
BC.MI,cash_flow,2022-12-31,Gain Loss On Sale Of PPE,98000.0
BC.MI,cash_flow,2022-12-31,Net Income From Continuing Operations,87205000.0
MONC.MI,cash_flow,2025-12-31,Free Cash Flow,740401000.0
MONC.MI,cash_flow,2025-12-31,Repayment Of Debt,0.0
MONC.MI,cash_flow,2025-12-31,Capital Expenditure,-220114000.0
MONC.MI,cash_flow,2025-12-31,End Cash Position,1226276000.0
MONC.MI,cash_flow,2025-12-31,Beginning Cash Position,1187972000.0
MONC.MI,cash_flow,2025-12-31,Effect Of Exchange Rate Changes,-19915000.0
MONC.MI,cash_flow,2025-12-31,Changes In Cash,58219000.0
MONC.MI,cash_flow,2025-12-31,Financing Cash Flow,-602259000.0
MONC.MI,cash_flow,2025-12-31,Cash Dividends Paid,-353231000.0
MONC.MI,cash_flow,2025-12-31,Common Stock Dividend Paid,-353231000.0
MONC.MI,cash_flow,2025-12-31,Net Issuance Payments Of Debt,-8101000.0
MONC.MI,cash_flow,2025-12-31,Net Short Term Debt Issuance,-8101000.0
MONC.MI,cash_flow,2025-12-31,Net Long Term Debt Issuance,0.0
MONC.MI,cash_flow,2025-12-31,Long Term Debt Payments,0.0
MONC.MI,cash_flow,2025-12-31,Investing Cash Flow,-300037000.0
MONC.MI,cash_flow,2025-12-31,Net Investment Purchase And Sale,-85643000.0
MONC.MI,cash_flow,2025-12-31,Purchase Of Investment,-85643000.0
MONC.MI,cash_flow,2025-12-31,Net Business Purchase And Sale,1200000.0
MONC.MI,cash_flow,2025-12-31,Sale Of Business,1200000.0
MONC.MI,cash_flow,2025-12-31,Net PPE Purchase And Sale,-215594000.0
MONC.MI,cash_flow,2025-12-31,Sale Of PPE,4520000.0
MONC.MI,cash_flow,2025-12-31,Purchase Of PPE,-220114000.0
MONC.MI,cash_flow,2025-12-31,Operating Cash Flow,960515000.0
MONC.MI,cash_flow,2025-12-31,Taxes Refund Paid,-251473000.0
MONC.MI,cash_flow,2025-12-31,Interest Received Cfo,23116000.0
MONC.MI,cash_flow,2025-12-31,Change In Working Capital,-86590000.0
MONC.MI,cash_flow,2025-12-31,Change In Other Current Assets,-9014000.0
MONC.MI,cash_flow,2025-12-31,Change In Payable,-2749000.0
MONC.MI,cash_flow,2025-12-31,Change In Inventory,-70387000.0
MONC.MI,cash_flow,2025-12-31,Change In Receivables,-4440000.0
MONC.MI,cash_flow,2025-12-31,Other Non Cash Items,16991000.0
MONC.MI,cash_flow,2025-12-31,Stock Based Compensation,33361000.0
MONC.MI,cash_flow,2025-12-31,Deferred Tax,260504000.0
